Region,Month of Period End,Property Type,Region Type,Seasonally Adjusted,State Code,City,last_updated,Measure Display,parent_metro_region,Period Begin,Period End,State,Table Id,Worksheet Filter,active_listings,active_listings_mom,active_listings_yoy,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median List Ppsf,Median List Ppsf Mom,Median List Ppsf Yoy,Median List Price,Median List Price Mom,Median List Price Yoy,Median Ppsf,Median Ppsf Mom,Median Ppsf Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,New Listings,New Listings Mom,New Listings Yoy,Number of Records,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region_metro_code,pending_sales,pending_sales_mom,pending_sales_yoy,Period Duration,Price Drops,Price Drops Mom,Price Drops Yoy,property_type_id,region_type_id,Sold Above List,Sold Above List Mom,Sold Above List Yoy
"Seattle, WA metro area",January 2016,All Residential,Metro,False,WA,,6/14/2020 3:16:51 PM,,"Seattle, WA",1/1/2016,1/31/2016,,42644,Value,7201,0.065236686,-0.229921933,1.001581773,0.1%,1.0%,2349,-39.0%,2.7%,3997,-0.8%,-31.5%,23,-1,-19,229.817444219,0.067711307,0.113386249,429000,0.075187970,0.135070777,217.619047619,0.000619181,0.084986395,$407K,1.8%,11.6%,1.7,0.7,-0.8,3215,72.9%,0.0%,1,0.647909968,0.154332893,0.107918432,42644,2488,0.229249012,0.052898857,30,0.190392795,0.025794979,-0.047947397,-1,-2,0.363984674,0.027189037,0.101746912
"Seattle, WA metro area",March 2018,All Residential,Metro,False,WA,,6/14/2020 3:16:51 PM,,"Seattle, WA",3/1/2018,3/31/2018,,42644,Value,7635,0.311179804,-0.034522003,1.040152315,0.5%,0.7%,3751,32.0%,-6.4%,3047,22.5%,-7.2%,7,-1,-1,306.747852761,0.015513369,0.137413646,575000,0,0.150023000,303.956834532,0.047834885,0.156279631,$560K,6.1%,15.5%,0.8,-0.1,0,5175,50.1%,2.0%,1,0.831305944,0.001708054,0.026953031,42644,4357,0.436058009,0.019658320,30,0.177551690,0.022344613,0.011646059,-1,-2,0.592108771,0.047934185,0.039851350
"Seattle, WA metro area",January 2020,All Residential,Metro,False,WA,,6/14/2020 3:16:51 PM,,"Seattle, WA",1/1/2020,1/31/2020,,42644,Value,6572,0.030094044,-0.241896413,0.993661818,0.1%,0.9%,2447,-33.4%,6.6%,3197,-7.8%,-38.4%,39,7,-9,314.606741573,0.069345806,0.004280211,589992.5,0.092588820,0.008534188,302.457466919,-0.000399727,0.070221669,$550K,-3.5%,5.8%,1.3,0.4,-1,3135,100.3%,-1.8%,1,0.648763524,0.191399183,0.122846963,42644,2588,0.253875969,0.090602613,30,0.185173600,0.012163220,-0.120028712,-1,-2,0.255414794,0.012487699,0.068568104
 National,January 2014,All Residential,National,False,US,National,6/14/2020 3:34:49 PM,,,1/1/2014,1/31/2014,U.S.,1400,Value,2138057,-0.002557562,0.013540239,0.968506881,-0.2%,0.0%,303029,-25.8%,-2.7%,1709314,0.9%,2.0%,75,7,-4,121,0.094473888,0.108120954,221759,0.123411214,0.117665989,112,-0.028070813,0.112299489,$201K,-5.3%,11.4%,5.640749040,1.492329826,0.259476644,473366,55.2%,-2.7%,1,0.309555567,0.086508177,-0.025768428,,223180,-0.024988383,-0.027059993,30,0.064167593,-0.033194057,0.003439647,-1,11,0.183727016,-0.007279480,-0.023981595
 National,May 2014,All Residential,National,False,US,National,6/14/2020 3:34:49 PM,,,5/1/2014,5/31/2014,U.S.,1400,Value,2583375,0.036827805,0.035469315,0.977078703,0.1%,-0.3%,507091,14.3%,-5.1%,1957150,3.9%,2.7%,52,-7,-2,128,0.011087183,0.060780668,245435,0.016285069,0.074983406,120,0.016606318,0.065083081,$222K,3.0%,5.9%,3.859560188,-0.385995191,0.294761007,740610,3.5%,5.4%,1,0.349719687,-0.015626380,-0.013021052,,452051,0.083144284,0.084012969,30,0.100138868,0.011851648,0.044878926,-1,11,0.216456523,0.004473333,-0.029457274
"Seattle, WA metro area",August 2019,All Residential,Metro,False,WA,,6/14/2020 3:16:51 PM,,"Seattle, WA",8/1/2019,8/31/2019,,42644,Value,12103,-0.050968400,-0.034617532,0.996065924,-0.3%,-0.7%,4541,-3.6%,1.5%,7505,-3.4%,-8.8%,18,4,6,302.590778098,0.006657459,0.013742466,545000,-0.009090909,-0.003656307,303.505358728,-0.013594488,0.002691778,$560K,-0.4%,1.8%,1.7,0.100000000,-0.1,4380,-8.8%,-16.3%,1,0.481319248,-0.022675274,-0.002992493,42644,3881,-0.114129194,-0.017965587,30,0.358827448,-0.008401281,-0.036021294,-1,-2,0.295089187,-0.030462595,-0.069461550
 National,September 2019,All Residential,National,False,US,National,6/14/2020 3:34:49 PM,,,9/1/2019,9/30/2019,U.S.,1400,Value,2256622,-0.030699864,-0.001903350,0.982590511,-0.2%,0.0%,532460,-15.2%,8.0%,1647544,-0.5%,-3.2%,41,2,2,165,0.031570978,0.022826578,304892,0.033533988,0.020139019,158,-0.002767673,0.037576455,$292K,-1.5%,4.6%,3.094211047,0.454854431,-0.356050077,619686,-7.7%,2.8%,1,0.346909619,-0.004995514,0.005471583,,441213,-0.123673880,0.071511443,30,0.214255496,0.040826524,0.044780571,-1,11,0.226147082,-0.012339929,-0.008143622
 National,May 2020,All Residential,National,False,US,National,6/14/2020 3:34:49 PM,,,5/1/2020,5/31/2020,U.S.,1400,Value,1872605,0.072069203,-0.210459749,0.985268591,-0.3%,-0.1%,414631,-4.7%,-35.9%,1227990,-3.6%,-25.8%,37,2,1,176,0.044314245,0.063924216,336197,0.055796218,0.058127612,159,-0.014101341,-0.000282057,$299K,-1.4%,0.5%,2.961639463,0.032448347,0.404846856,618672,33.4%,-25.9%,1,0.445165695,0.075553049,0.019265521,,506962,0.376153477,-0.114752828,30,0.128481292,0.018049725,-0.027516721,-1,11,0.252271613,-0.027763657,-0.006173070
"Los Angeles, CA metro area",September 2016,All Residential,Metro,False,CA,,6/14/2020 3:16:51 PM,,"Los Angeles, CA",9/1/2016,9/30/2016,,31084,Value,28191,0.014320153,0.114665296,0.995485545,-0.2%,0.1%,6799,-5.3%,1.9%,19918,2.3%,14.7%,39,4,7,372.706422018,0.013733808,0.049128226,555000,0.018348624,0.067512983,370.519185142,-0.001362577,0.087237763,$535K,-1.8%,7.2%,2.9,0.2,0.3,8870,-4.4%,13.5%,1,0.314312153,-0.033481415,-0.043463834,31084,6484,-0.030067315,0.044963739,30,0.198664525,-0.014913250,-0.039888721,-1,-2,0.385350787,-0.012781878,0.017000719
"Los Angeles, CA metro area",January 2017,All Residential,Metro,False,CA,,6/14/2020 3:16:51 PM,,"Los Angeles, CA",1/1/2017,1/31/2017,,31084,Value,21207,-0.009296459,0.057652985,0.989336265,-0.2%,0.1%,4827,-23.7%,2.9%,15078,2.6%,4.7%,53,4,10,382.839721254,0.047771869,0.069976641,565000,0.066037736,0.066238913,365.214139793,0.013174710,0.070726553,$540K,0.9%,8.0%,3.1,0.8,0,6638,71.4%,-5.9%,1,0.323702378,0.109860115,-0.067190879,31084,3911,-0.100712808,-0.026872356,30,0.137750365,0.021188035,-0.022691179,-1,-2,0.326496789,-0.016536581,0.004679770
"Los Angeles, CA metro area",May 2017,All Residential,Metro,False,CA,,6/14/2020 3:16:51 PM,,"Los Angeles, CA",5/1/2017,5/31/2017,,31084,Value,25883,0.060952615,0.040062686,1.001139734,0.0%,0.4%,7112,19.0%,5.1%,17332,2.6%,3.5%,36,-1,2,398.313843610,0.007126119,0.075716307,599000,-0.001500250,0.060176991,388.046996686,0.009563591,0.079799920,$579K,3.4%,7.2%,2.4,-0.4,-0.1,9133,8.6%,4.2%,1,0.342514628,-0.011067412,-0.054060006,31084,7007,0.156652361,0.034548944,30,0.167147473,0.022303972,-0.016842969,-1,-2,0.450365579,0.015793959,0.044189456
"Los Angeles, CA metro area",June 2018,All Residential,Metro,False,CA,,6/14/2020 3:16:51 PM,,"Los Angeles, CA",6/1/2018,6/30/2018,,31084,Value,25869,0.033891531,-0.010632195,1.003315956,-0.1%,0.1%,7084,5.6%,-12.0%,18061,5.4%,2.2%,36,2,1,427.853884050,0.010300361,0.069950703,650000,0.001540832,0.085141903,421.283507264,0.004462780,0.068389508,$635K,0.8%,8.0%,2.5,-0.1,0.3,8862,-1.2%,-1.2%,1,0.297082228,-0.029064143,-0.014137847,31084,6409,-0.026875190,-0.075713874,30,0.195005814,0.011071617,0.014997894,-1,-2,0.463579898,-0.010402508,0.005826419
"Washington, DC metro area",August 2019,All Residential,Metro,False,DC,,6/14/2020 3:16:51 PM,,"Washington, DC",8/1/2019,8/31/2019,,47894,Value,21002,-0.057106941,-0.032567138,0.994791996,-0.2%,0.3%,6899,-7.6%,-2.4%,13937,-2.6%,-5.7%,33,5,9,205.208333333,-0.008174369,0.015636159,399874,-0.017508600,0.052576994,206.594352617,-0.003729900,-0.011391377,$415K,-1.6%,4.0%,2,0.1,-0.1,6809,-5.4%,-6.0%,1,0.374933238,-0.015658567,-0.045594729,47894,5617,-0.147647951,0.036920805,30,0.260673029,-0.010739574,-0.064807610,-1,-2,0.310624728,-0.009134147,0.037177282
"Chicago, IL metro area",September 2018,All Residential,Metro,False,IL,,6/14/2020 3:16:51 PM,,"Chicago, IL",9/1/2018,9/30/2018,,16984,Value,41759,-0.023523910,0.025641655,0.972711898,-0.2%,0.0%,7576,-24.8%,-9.1%,32192,1.2%,4.1%,36,4,0,156.225210541,0.033102199,0.026892477,254900,0.020008003,0.028237192,148.809523810,-0.015997024,0.019157663,$241K,-1.8%,3.1%,4.2,1,0.5,10277,-10.2%,-0.2%,1,0.335008375,-0.015172130,-0.019744364,16984,6567,-0.182497199,-0.027687296,30,0.285226143,-0.008322143,-0.000335700,-1,-2,0.191921859,-0.011035664,-0.007526450
"Boston, MA metro area",September 2015,All Residential,Metro,False,MA,,6/14/2020 3:16:51 PM,,"Boston, MA",9/1/2015,9/30/2015,,14454,Value,18200,0.061905595,-0.247654086,0.989446070,-0.6%,0.6%,4666,-19.0%,15.3%,12836,8.1%,-32.7%,20,4,-63,241.850220264,0.067281784,0.040152573,425000,0.096208409,0.062765691,229.860566895,-0.039388676,0.026810368,$395K,-6.2%,4.8%,2.8,0.7,-1.9,6465,27.4%,11.9%,1,0.513586291,0.044053934,0.465285755,14454,4085,-0.035191308,0.461538462,30,0.316609536,0.037798188,0.079790901,-1,-2,0.302400343,-0.056516136,0.050299503
"Philadelphia, PA metro area",April 2012,All Residential,Metro,False,PA,,6/14/2020 3:16:51 PM,,"Philadelphia, PA",4/1/2012,4/30/2012,,37964,Value,14144,-0.004924722,-0.060885731,0.939799737,0.9%,0.7%,1420,1.1%,6.9%,11933,1.5%,-8.4%,76,-18,-16,116.352338430,-0.036751941,-0.039223755,164900,-0.023682652,-0.029429076,109.853420195,0.084148656,0.038114821,$150K,9.1%,9.9%,8.4,0,-1.4,2789,-10.6%,-8.1%,1,0.327531646,-0.041280236,-0.049044931,37964,1264,0.042904290,0.138738739,30,0.210341071,0.006786951,0.210264331,-1,-2,0.090845070,-0.008799058,-0.013823604
"Philadelphia, PA metro area",December 2016,All Residential,Metro,False,PA,,6/14/2020 3:16:51 PM,,"Philadelphia, PA",12/1/2016,12/31/2016,,37964,Value,10439,-0.080102221,-0.144274121,0.958848926,0.2%,0.7%,2145,7.3%,5.7%,8089,-9.7%,-17.2%,48,-1,-10,109.210737179,-0.125792071,0.126484894,140000,-0.175985874,0.077752117,126.775147929,0.012543992,0.084595073,$176K,2.2%,9.9%,3.8,-0.7,-1,1609,-22.9%,-4.7%,1,0.264285714,-0.015405080,0.005254877,37964,1260,-0.114546732,0.110132159,30,0.132896526,-0.058621331,-0.003993000,-1,-2,0.148717949,-0.004858840,0.023594796
"Seattle, WA metro area",December 2012,All Residential,Metro,False,WA,,6/14/2020 3:16:51 PM,,"Seattle, WA",12/1/2012,12/31/2012,,42644,Value,8781,-0.152576723,-0.370763167,0.989584019,0.0%,1.4%,3096,-1.5%,14.4%,6316,-10.4%,-42.3%,37,6,-30,159.090909091,-0.023850227,0.164296597,292484,-0.024728243,0.218937279,162.797755909,-0.018670271,0.118505365,$310K,-3.1%,17.0%,2,-0.2,-2,1786,-28.1%,-6.0%,1,0.455617629,0.022111584,0.158721542,42644,1611,-0.304404145,0.087044534,30,0.139328689,-0.077501168,-0.098231797,-1,-2,0.290051680,0.014749324,0.100103416
"Seattle, WA metro area",May 2017,All Residential,Metro,False,WA,,6/14/2020 3:16:51 PM,,"Seattle, WA",5/1/2017,5/31/2017,,42644,Value,9801,0.194661141,-0.106563355,1.047189429,0.3%,1.6%,5012,32.8%,5.2%,4153,16.6%,-20.7%,7,0,0,273.747330961,0.021990036,0.128745140,522866.5,0.045837584,0.161925556,281.25,0.024621908,0.138609543,$510K,1.3%,15.9%,0.8,-0.1,-0.3,6260,26.5%,5.2%,1,0.798020528,-0.017332640,0.060828000,42644,5456,0.239155122,0.009062327,30,0.223934505,0.059654808,-0.021913939,-1,-2,0.637869114,0.017938025,0.071419398
"Los Angeles, CA metro area",April 2015,All Residential,Metro,False,CA,,6/14/2020 3:16:51 PM,,"Los Angeles, CA",4/1/2015,4/30/2015,,31084,Value,24076,0.015650707,0.110362957,0.994124018,0.2%,-0.1%,6688,9.3%,6.1%,15915,4.3%,14.2%,32,-3,9,348.000174150,0.001315658,0.077442968,535000,0.011342155,0.074297189,336.107638829,0.011787944,0.075855565,$495K,3.1%,7.6%,2.4,-0.1,0.2,8983,4.7%,9.3%,1,0.435797665,-0.005148450,-0.029468398,31084,6682,0.046679198,0.024689465,30,0.192836946,-0.006415611,-0.041524603,-1,-2,0.360944976,0.032677002,-0.010247917
"Washington, DC metro area",May 2013,All Residential,Metro,False,DC,,6/14/2020 3:16:51 PM,,"Washington, DC",5/1/2013,5/31/2013,,47894,Value,21957,0.058372698,-0.079371069,0.994242877,0.2%,0.7%,6686,21.9%,14.2%,14465,9.5%,-14.8%,14,-4,-12,194.408994358,0.009133167,0.097110631,389900,0.026322717,0.114,193.989071038,0.038315797,0.120556250,$371K,4.9%,9.5%,2.2,-0.2,-0.7,9011,1.8%,24.0%,1,0.587561881,-0.037726536,0.103924841,47894,6464,-0.005691432,0.201933804,30,0.210646388,0.003517585,-0.017429991,-1,-2,0.325605743,0.014506782,0.091868335
"Washington, DC metro area",March 2018,All Residential,Metro,False,DC,,6/14/2020 3:16:51 PM,,"Washington, DC",3/1/2018,3/31/2018,,47894,Value,20337,0.185969209,-0.101920954,0.993005836,0.3%,0.3%,5939,35.9%,-3.3%,12113,10.5%,-14.3%,20,-22,-6,209.558823529,0.005096618,0.025535537,425000,0.024096386,0.000235349,209.241108158,0.035376970,0.052857605,$394K,5.2%,6.5%,2,-0.5,-0.3,9566,41.7%,-7.9%,1,0.644708267,0.000679672,0.029018661,47894,6907,0.452270816,-0.021948457,30,0.250970032,-0.006579461,0.023919286,-1,-2,0.279171578,0.019505597,0.013297270
"Chicago, IL metro area",May 2016,All Residential,Metro,False,IL,,6/14/2020 3:16:51 PM,,"Chicago, IL",5/1/2016,5/31/2016,,16984,Value,45677,0.029596069,-0.060066672,0.974031141,0.2%,0.3%,10118,13.3%,9.1%,33334,3.7%,-8.5%,36,-5,-6,151.528013582,-0.004812890,0.044400398,252000,-0.027027027,0.037463977,141.758769822,0.022522274,0.057819884,$235K,1.7%,5.4%,3.3,-0.3,-0.6,14040,-2.5%,-0.7%,1,0.407407407,-0.032009117,0.018645814,16984,9693,0.032048552,0.057610475,30,0.262494750,0.015542772,-0.007620508,-1,-2,0.212492587,0.014798644,0.015403639
"Chicago, IL metro area",June 2016,All Residential,Metro,False,IL,,6/14/2020 3:16:51 PM,,"Chicago, IL",6/1/2016,6/30/2016,,16984,Value,46361,0.014974714,-0.061708156,0.976184762,0.2%,0.4%,11696,15.6%,3.3%,33983,1.9%,-9.2%,33,-3,-6,146.642581247,-0.032241116,0.011973470,245000,-0.027777778,0.021258858,146.215583464,0.031439421,0.038212583,$246K,4.7%,4.9%,2.9,-0.4,-0.4,13611,-3.1%,0.0%,1,0.378970775,-0.028436632,0.024256360,16984,9444,-0.025688641,0.070262919,30,0.291292705,0.028797955,0.000703778,-1,-2,0.215714774,0.003222187,0.018559046
"Chicago, IL metro area",September 2016,All Residential,Metro,False,IL,,6/14/2020 3:16:51 PM,,"Chicago, IL",9/1/2016,9/30/2016,,16984,Value,43248,-0.032331685,-0.071492980,0.971238589,-0.1%,0.3%,8689,-16.3%,1.8%,33214,-0.8%,-8.0%,41,3,-5,146.357142857,0.026073733,0.054484404,239900,0.043497173,0.066222222,137.5,-0.033203125,0.051726148,$220K,-6.4%,4.8%,3.8,0.6,-0.4,10266,-7.1%,0.3%,1,0.330741080,-0.005149471,0.010880876,16984,6558,-0.161488301,-0.003494910,30,0.284759439,-0.005385783,-0.003563044,-1,-2,0.181724019,-0.014673592,-0.002970696
"Chicago, IL metro area",March 2017,All Residential,Metro,False,IL,,6/14/2020 3:16:51 PM,,"Chicago, IL",3/1/2017,3/31/2017,,16984,Value,39785,0.134510095,-0.064212631,0.972913696,0.5%,0.3%,8491,60.8%,15.0%,27498,6.4%,-10.0%,50,-17,-13,156.169212691,-0.023332003,0.033947891,269900,-0.018545455,0.038476337,140.582191781,0.073975542,0.078607878,$235K,12.4%,11.9%,3.2,-1.7,-0.9,14441,26.8%,1.7%,1,0.487270312,-0.026486648,0.036282922,16984,9034,0.479528333,0.074708542,30,0.238453706,0.042561070,0.004368001,-1,-2,0.204334001,0.014525325,0.005634285
"Chicago, IL metro area",February 2020,All Residential,Metro,False,IL,,6/14/2020 3:16:51 PM,,"Chicago, IL",2/1/2020,2/29/2020,,16984,Value,34421,0.079806757,0.022821145,0.967631176,0.3%,0.0%,5379,3.2%,7.7%,24189,2.6%,-4.7%,72,8,2,171.360216516,0.051258364,0.008297832,304900,0.088928571,0.016751896,145.973469961,0.025306787,0.026482951,$243K,3.4%,4.0%,4.5,0,-0.6,11218,32.7%,7.8%,1,0.504299291,0.117925567,0.035591676,16984,6629,0.471149578,0.284441000,30,0.196287569,0.008975878,0.019198078,-1,-2,0.160252835,0.002570119,-0.010317735
"Boston, MA metro area",January 2013,All Residential,Metro,False,MA,,6/14/2020 3:16:51 PM,,"Boston, MA",1/1/2013,1/31/2013,,14454,Value,17105,-0.069571366,-0.180677300,0.969518606,-0.2%,1.2%,2548,-28.7%,20.9%,13915,1.8%,-22.0%,114,12,-19,212.174940898,0.118804920,0.064695039,350000,0.129032258,0.076923077,190.727699531,-0.050889824,0.033169160,$325K,-5.1%,7.1%,5.5,1.7,-3,3658,119.3%,-1.0%,1,0.095514950,0.053485222,-0.003800118,14454,1204,-0.382880574,0.374429224,30,0.138986705,0.048403548,-0.034789852,-1,-2,0.169937206,-0.027935730,0.042742142
"Boston, MA metro area",July 2013,All Residential,Metro,False,MA,,6/14/2020 3:16:51 PM,,"Boston, MA",7/1/2013,7/31/2013,,14454,Value,27148,-0.049739228,-0.035183737,0.989993228,0.1%,1.8%,5854,4.8%,23.8%,20540,-8.0%,-8.4%,80,2,-15,217.291407688,-0.033831002,0.089045307,369000,-0.051413882,0.111445783,225.748492413,-0.012118909,0.076891868,$387K,-0.9%,7.5%,3.5,-0.5,-1.2,5031,-17.4%,17.4%,1,0.039473684,-0.008728114,-0.005916387,14454,4104,0.024975025,0.455319149,30,0.150730282,0.004585391,-0.015966114,-1,-2,0.314827468,-0.009259862,0.130143737
"Boston, MA metro area",January 2014,All Residential,Metro,False,MA,,6/14/2020 3:16:51 PM,,"Boston, MA",1/1/2014,1/31/2014,,14454,Value,16071,-0.112932605,-0.060450161,0.977517385,-0.1%,0.8%,2580,-31.9%,1.3%,12905,-0.7%,-7.3%,101,15,-13,222.819175282,0.043925854,0.050167255,379900,0.085738783,0.085428571,212.346760070,-0.018788160,0.113350397,$367K,-1.1%,12.9%,5,1.6,-0.5,3229,78.5%,-11.7%,1,0.052160954,0.019624694,-0.043353996,14454,1342,-0.473931791,0.114617940,30,0.119333592,0.006674877,-0.019653113,-1,-2,0.193798450,-0.039446933,0.023861244
"Boston, MA metro area",September 2014,All Residential,Metro,False,MA,,6/14/2020 3:16:51 PM,,"Boston, MA",9/1/2014,9/30/2014,,14454,Value,24191,-0.024438440,-0.002556385,0.983494650,-0.6%,-0.2%,4046,-21.8%,-1.9%,19061,1.9%,-0.8%,83,5,-1,232.514177694,0.063547203,0.020824505,399900,0.052645433,0.028020566,223.858829399,-0.034319191,0.024766081,$377K,-5.8%,1.9%,4.7,1.1,0,5779,35.2%,-0.5%,1,0.048300537,0.010654725,-0.014680057,14454,2795,-0.259013786,0.023434639,30,0.236818635,0.061520682,0.044701178,-1,-2,0.252100840,-0.042084982,-0.030876851
"Boston, MA metro area",May 2017,All Residential,Metro,False,MA,,6/14/2020 3:16:51 PM,,"Boston, MA",5/1/2017,5/31/2017,,14454,Value,15455,0.158545727,-0.073774422,1.009303650,0.6%,0.9%,4642,43.3%,1.0%,8680,8.5%,-12.8%,10,-2,-1,266.596491228,-0.001566517,0.051431982,489900,0.020625000,0.088666667,261.011419250,0.018876719,0.057096248,$455K,2.0%,6.8%,1.9,-0.6,-0.3,7558,18.2%,6.2%,1,0.674976031,-0.023628427,0.023693979,14454,6258,0.303478442,0.035235732,30,0.294585253,0.076003285,0.000384831,-1,-2,0.473933649,0.035835471,0.058391638
"Philadelphia, PA metro area",November 2014,All Residential,Metro,False,PA,,6/14/2020 3:16:51 PM,,"Philadelphia, PA",11/1/2014,11/30/2014,,37964,Value,13665,-0.063912865,0.056599397,0.946749049,0.1%,0.5%,1539,-15.4%,6.2%,11467,-4.5%,6.7%,54,-4,-3,106.030169718,-0.051583786,0.027682300,145000,-0.046052632,0.041292639,112.094174265,0.043228676,-0.005908478,$152K,1.3%,0.0%,7.5,0.9,0.100000000,1910,-30.3%,0.5%,1,0.254528122,-0.086029154,-0.037218519,37964,1049,-0.188080495,0.006717850,30,0.175460016,-0.068543982,0.004281301,-1,-2,0.105912930,-0.017163993,0.001012999
"Philadelphia, PA metro area",May 2019,All Residential,Metro,False,PA,,6/14/2020 3:16:51 PM,,"Philadelphia, PA",5/1/2019,5/31/2019,,37964,Value,10604,0.036255253,0.049900990,0.972586233,0.0%,-0.2%,2664,20.1%,-0.9%,7487,5.1%,9.5%,37,-4,7,159.655043532,-0.023056924,0.011036793,234900,-0.010947368,0.025764192,150,0.028577306,0.027058824,$218K,3.8%,5.4%,2.8,-0.4,0.3,3580,2.5%,1.1%,1,0.348282828,-0.039145274,-0.034452084,37964,2475,0.016844700,-0.054621849,30,0.287164418,0.016734764,-0.003667575,-1,-2,0.206831832,0.017021192,-0.010721162
"Seattle, WA metro area",January 2017,All Residential,Metro,False,WA,,6/14/2020 3:16:51 PM,,"Seattle, WA",1/1/2017,1/31/2017,,42644,Value,6381,0.007897647,-0.113873073,1.006622672,0.1%,0.5%,2873,-25.2%,22.3%,3053,-9.3%,-23.6%,25,6,2,261.192736588,0.095074733,0.136522676,475000,0.117647059,0.107226107,239.922072646,-0.015462678,0.102486548,$443K,-3.8%,8.7%,1.1,0.2,-0.6,3047,68.1%,-5.2%,1,0.674703264,0.164882225,0.026793296,42644,2696,0.176778699,0.083601286,30,0.195872912,0.032819749,0.005480117,-1,-2,0.371388792,-0.006018808,0.007404118
"Los Angeles, CA metro area",March 2015,All Residential,Metro,False,CA,,6/14/2020 3:16:51 PM,,"Los Angeles, CA",3/1/2015,3/31/2015,,31084,Value,23705,0.082617830,0.128809524,0.991699950,0.4%,-0.3%,6120,41.4%,10.8%,15252,-0.4%,12.0%,35,-10,10,347.542926601,0.015621354,0.085673981,529000,0.037254902,0.079594040,332.191780822,0.044511878,0.074259747,$480K,1.9%,6.7%,2.5,-1,0,8578,16.9%,5.4%,1,0.440946115,-0.023750108,-0.054170587,31084,6384,0.310344828,0.056778679,30,0.199252557,0.029570629,-0.019534164,-1,-2,0.328267974,0.038459793,-0.035253127
"Washington, DC metro area",March 2016,All Residential,Metro,False,DC,,6/14/2020 3:16:51 PM,,"Washington, DC",3/1/2016,3/31/2016,,47894,Value,24179,0.195618850,0.040404475,0.987162289,0.3%,0.0%,5320,31.6%,5.2%,16145,14.8%,0.3%,47,-17,5,198.998631498,0.023364648,0.031564979,406291.5,0.042042939,0.015754144,190.424678544,0.032395191,0.013538729,$360K,4.8%,0.8%,3,-0.5,-0.2,10394,61.5%,16.1%,1,0.605224964,0.058289166,0.035047924,47894,6201,0.508025292,0.131775872,30,0.212883246,0.019708699,0.013976210,-1,-2,0.234022556,0.032637104,0.013053219
"Washington, DC metro area",July 2016,All Residential,Metro,False,DC,,6/14/2020 3:16:51 PM,,"Washington, DC",7/1/2016,7/31/2016,,47894,Value,25543,-0.038797321,-0.103471272,0.990726590,-0.1%,0.3%,6935,-14.9%,-2.3%,17890,-1.6%,-14.1%,26,4,-3,195.3125,-0.024345930,0.026227038,369900,-0.039220779,0.013424658,195.641986879,0.012734991,0.009512652,$380K,-2.8%,1.3%,2.6,0.4,-0.3,7562,-12.2%,-6.3%,1,0.414858097,-0.031458916,0.030520747,47894,5990,-0.129739939,0.030981067,30,0.276243712,-0.020264400,-0.022225064,-1,-2,0.251766402,-0.002159015,0.022514606
"Washington, DC metro area",January 2018,All Residential,Metro,False,DC,,6/14/2020 3:16:51 PM,,"Washington, DC",1/1/2018,1/31/2018,,47894,Value,16538,-0.018632803,-0.067598805,0.987689318,-0.2%,0.1%,4083,-25.3%,-1.1%,10523,-7.5%,-11.2%,43,4,-6,205.788447107,0.051011202,0.043804734,399000,0.14,0.031154298,200,0.014765101,0.040612307,$365K,-5.2%,2.2%,2.6,0.5,-0.3,5284,55.6%,-2.6%,1,0.500364697,0.137542445,0.014415928,47894,4113,0.116146540,0.022879881,30,0.214102442,0.042616110,0.016989493,-1,-2,0.225569434,-0.003116991,0.014813620
"Chicago, IL metro area",July 2016,All Residential,Metro,False,IL,,6/14/2020 3:16:51 PM,,"Chicago, IL",7/1/2016,7/31/2016,,16984,Value,45273,-0.023468001,-0.082335056,0.975071527,-0.1%,0.4%,10070,-13.9%,-6.4%,34157,0.5%,-9.3%,35,2,-5,146.354443853,-0.001964896,0.045946425,239900,-0.020816327,0.043497173,144.046094750,-0.014837603,0.037131882,$241K,-2.0%,5.7%,3.4,0.5,-0.1,11818,-13.2%,-5.7%,1,0.361948100,-0.017022675,0.031700810,16984,8131,-0.139030072,-0.009501766,30,0.273853090,-0.017439615,-0.026686101,-1,-2,0.212413108,-0.003301666,0.019812253
"Boston, MA metro area",November 2013,All Residential,Metro,False,MA,,6/14/2020 3:16:51 PM,,"Boston, MA",11/1/2013,11/30/2013,,14454,Value,21392,-0.101516233,-0.030939977,0.980979169,-0.2%,0.9%,3606,-7.7%,-5.1%,16407,-11.9%,-2.8%,80,1,-19,215.835133740,-0.022393806,0.069271789,359900,-0.052645433,0.090606061,215.375767922,-0.009499912,0.072263645,$363K,0.9%,8.1%,4.5,-0.3,0.100000000,2920,-39.7%,5.3%,1,0.038031320,-0.011549686,-0.001150963,14454,2682,-0.063547486,0.142248722,30,0.144938136,-0.049818217,-0.006966598,-1,-2,0.256794232,-0.016049382,0.077846863
